Height_mm,Area_mm2,X_centroid_translated,Y_centroid_translated,FARO_major_angle_X,FARO_minor_angle_Y,Aligned_major_angle_X,Aligned_minor_angle_Y,Major_axis_change,Minor_axis_change,Major_axis_change_str,Minor_axis_change_str,Translation_X,Translation_Y
59,219793.87,-1.0973,0.4766,79.06,79.06,1.09,1.09,77.97,77.97,79.06→1.09 (Δ=77.97),79.06→1.09 (Δ=77.97),65.85,253.98
60,218761.61,-0.4408,0.2003,77.65,77.65,0.31,0.31,77.34,77.34,77.65→0.31 (Δ=77.34),77.65→0.31 (Δ=77.34),65.85,253.98
61,218478.29,-0.3523,0.1883,78.33,78.33,0.37,0.37,77.97,77.97,78.33→0.37 (Δ=77.97),78.33→0.37 (Δ=77.97),65.85,253.98
62,218182.05,0.1714,0.5844,78.82,78.82,0.85,0.85,77.97,77.97,78.82→0.85 (Δ=77.97),78.82→0.85 (Δ=77.97),65.85,253.98
63,217625.56,0.4589,0.4353,79.4,79.4,1.43,1.43,77.97,77.97,79.40→1.43 (Δ=77.97),79.40→1.43 (Δ=77.97),65.85,253.98
64,217855.36,-0.5578,0.6005,79.13,79.13,1.16,1.16,77.97,77.97,79.13→1.16 (Δ=77.97),79.13→1.16 (Δ=77.97),65.85,253.98
65,218503.76,-0.319,0.4351,77.75,77.75,0.21,0.21,77.54,77.54,77.75→0.21 (Δ=77.54),77.75→0.21 (Δ=77.54),65.85,253.98
66,218654.59,-1.1647,0.4769,78.86,78.86,0.89,0.89,77.97,77.97,78.86→0.89 (Δ=77.97),78.86→0.89 (Δ=77.97),65.85,253.98
67,218777.78,-1.2742,0.4414,79.14,79.14,1.17,1.17,77.97,77.97,79.14→1.17 (Δ=77.97),79.14→1.17 (Δ=77.97),65.85,253.98
68,218097.8,-1.5897,-0.1557,77.16,77.16,0.81,0.81,76.35,76.35,77.16→0.81 (Δ=76.35),77.16→0.81 (Δ=76.35),65.85,253.98
69,219171.21,-0.9946,-0.2626,79.3,79.3,1.33,1.33,77.97,77.97,79.30→1.33 (Δ=77.97),79.30→1.33 (Δ=77.97),65.85,253.98
70,221934.2,-3.4859,1.1399,79.09,79.09,1.12,1.12,77.97,77.97,79.09→1.12 (Δ=77.97),79.09→1.12 (Δ=77.97),65.85,253.98
71,222248.11,-3.8877,1.1047,77.66,77.66,0.31,0.31,77.35,77.35,77.66→0.31 (Δ=77.35),77.66→0.31 (Δ=77.35),65.85,253.98
72,223005.21,-3.9233,1.7198,80.9,80.9,2.93,2.93,77.97,77.97,80.90→2.93 (Δ=77.97),80.90→2.93 (Δ=77.97),65.85,253.98
73,222792.65,-4.4652,1.8981,78.73,78.73,0.76,0.76,77.97,77.97,78.73→0.76 (Δ=77.97),78.73→0.76 (Δ=77.97),65.85,253.98
74,222961.97,-4.2404,1.5634,78.05,78.05,0.08,0.08,77.97,77.97,78.05→0.08 (Δ=77.97),78.05→0.08 (Δ=77.97),65.85,253.98
75,221438.27,-4.3241,2.0043,80.9,80.9,2.93,2.93,77.97,77.97,80.90→2.93 (Δ=77.97),80.90→2.93 (Δ=77.97),65.85,253.98
76,222716.89,-5.2069,2.0295,78.56,78.56,0.59,0.59,77.97,77.97,78.56→0.59 (Δ=77.97),78.56→0.59 (Δ=77.97),65.85,253.98
77,223097.14,-5.1102,2.4106,78.04,78.04,0.08,0.08,77.97,77.97,78.04→0.08 (Δ=77.97),78.04→0.08 (Δ=77.97),65.85,253.98
78,223972.55,-5.461,2.4001,77.54,77.54,0.42,0.42,77.12,77.12,77.54→0.42 (Δ=77.12),77.54→0.42 (Δ=77.12),65.85,253.98
79,224303.08,-5.3342,2.1334,76.7,76.7,1.26,1.26,75.44,75.44,76.70→1.26 (Δ=75.44),76.70→1.26 (Δ=75.44),65.85,253.98
80,224475.55,-6.2281,2.2989,76.42,76.42,1.55,1.55,74.88,74.88,76.42→1.55 (Δ=74.88),76.42→1.55 (Δ=74.88),65.85,253.98
81,224864.53,-5.6462,1.851,77.75,77.75,0.22,0.22,77.53,77.53,77.75→0.22 (Δ=77.53),77.75→0.22 (Δ=77.53),65.85,253.98
82,225406.64,-5.3237,2.1759,76.49,76.49,1.47,1.47,75.02,75.02,76.49→1.47 (Δ=75.02),76.49→1.47 (Δ=75.02),65.85,253.98
83,225028.08,-5.3261,1.9157,76.99,76.99,0.98,0.98,76.01,76.01,76.99→0.98 (Δ=76.01),76.99→0.98 (Δ=76.01),65.85,253.98
84,224836.18,-4.8263,1.6532,77.57,77.57,0.4,0.4,77.17,77.17,77.57→0.40 (Δ=77.17),77.57→0.40 (Δ=77.17),65.85,253.98
85,224574.7,-4.1378,1.3303,76.73,76.73,1.24,1.24,75.49,75.49,76.73→1.24 (Δ=75.49),76.73→1.24 (Δ=75.49),65.85,253.98
86,224340.41,-4.1739,1.4282,76.37,76.37,1.6,1.6,74.77,74.77,76.37→1.60 (Δ=74.77),76.37→1.60 (Δ=74.77),65.85,253.98
87,224008.63,-4.0909,1.4948,79.45,79.45,1.48,1.48,77.97,77.97,79.45→1.48 (Δ=77.97),79.45→1.48 (Δ=77.97),65.85,253.98
88,222501.4,-3.5627,1.3558,77.63,77.63,0.34,0.34,77.29,77.29,77.63→0.34 (Δ=77.29),77.63→0.34 (Δ=77.29),65.85,253.98
89,221666.43,-2.8555,1.0968,78.01,78.01,0.05,0.05,77.97,77.97,78.01→0.05 (Δ=77.97),78.01→0.05 (Δ=77.97),65.85,253.98
90,220453.68,-2.5721,0.8485,78.64,78.64,0.67,0.67,77.97,77.97,78.64→0.67 (Δ=77.97),78.64→0.67 (Δ=77.97),65.85,253.98
91,220040.8,-2.2688,0.7267,78.05,78.05,0.08,0.08,77.97,77.97,78.05→0.08 (Δ=77.97),78.05→0.08 (Δ=77.97),65.85,253.98
92,219659.38,-2.7108,1.0748,76.91,76.91,1.05,1.05,75.86,75.86,76.91→1.05 (Δ=75.86),76.91→1.05 (Δ=75.86),65.85,253.98
93,219632.81,-3.0378,1.369,77.38,77.38,0.58,0.58,76.8,76.8,77.38→0.58 (Δ=76.80),77.38→0.58 (Δ=76.80),65.85,253.98
94,219551.21,-2.8067,1.4745,77.33,77.33,0.64,0.64,76.69,76.69,77.33→0.64 (Δ=76.69),77.33→0.64 (Δ=76.69),65.85,253.98
95,219993.2,-3.3353,1.4349,77.74,77.74,0.23,0.23,77.5,77.5,77.74→0.23 (Δ=77.50),77.74→0.23 (Δ=77.50),65.85,253.98
96,220252.01,-2.9562,0.9542,77.16,77.16,0.8,0.8,76.36,76.36,77.16→0.80 (Δ=76.36),77.16→0.80 (Δ=76.36),65.85,253.98
97,220168.38,-3.5878,0.9722,77.54,77.54,0.43,0.43,77.11,77.11,77.54→0.43 (Δ=77.11),77.54→0.43 (Δ=77.11),65.85,253.98
98,219852.96,-2.7439,1.2397,80.4,80.4,2.43,2.43,77.97,77.97,80.40→2.43 (Δ=77.97),80.40→2.43 (Δ=77.97),65.85,253.98
99,220928.5,-2.505,1.4543,79.17,79.17,1.2,1.2,77.97,77.97,79.17→1.20 (Δ=77.97),79.17→1.20 (Δ=77.97),65.85,253.98
100,219028.54,-1.8535,0.9204,78.63,78.63,0.66,0.66,77.97,77.97,78.63→0.66 (Δ=77.97),78.63→0.66 (Δ=77.97),65.85,253.98
101,221227.93,-2.5682,1.1933,79.91,79.91,1.94,1.94,77.97,77.97,79.91→1.94 (Δ=77.97),79.91→1.94 (Δ=77.97),65.85,253.98
102,219902.71,-1.6747,1.3233,79.84,79.84,1.88,1.88,77.97,77.97,79.84→1.88 (Δ=77.97),79.84→1.88 (Δ=77.97),65.85,253.98
103,221570.26,-3.2308,2.2368,77.88,77.88,0.09,0.09,77.78,77.78,77.88→0.09 (Δ=77.78),77.88→0.09 (Δ=77.78),65.85,253.98
104,222119.05,-4.4663,1.8486,77.94,77.94,0.03,0.03,77.91,77.91,77.94→0.03 (Δ=77.91),77.94→0.03 (Δ=77.91),65.85,253.98
105,222296.97,-4.873,2.4474,78.83,78.83,0.86,0.86,77.97,77.97,78.83→0.86 (Δ=77.97),78.83→0.86 (Δ=77.97),65.85,253.98
106,222442.87,-5.8137,2.7701,76.82,76.82,1.15,1.15,75.67,75.67,76.82→1.15 (Δ=75.67),76.82→1.15 (Δ=75.67),65.85,253.98
107,222242.0,-6.3207,2.6913,77.76,77.76,0.21,0.21,77.55,77.55,77.76→0.21 (Δ=77.55),77.76→0.21 (Δ=77.55),65.85,253.98
108,222821.07,-6.6139,2.5788,76.61,76.61,1.36,1.36,75.25,75.25,76.61→1.36 (Δ=75.25),76.61→1.36 (Δ=75.25),65.85,253.98
109,222594.9,-6.5405,2.2199,76.55,76.55,1.42,1.42,75.14,75.14,76.55→1.42 (Δ=75.14),76.55→1.42 (Δ=75.14),65.85,253.98
110,222561.63,-5.8817,2.3502,78.15,78.15,0.18,0.18,77.97,77.97,78.15→0.18 (Δ=77.97),78.15→0.18 (Δ=77.97),65.85,253.98
111,223019.62,-5.8314,1.8344,77.75,77.75,0.21,0.21,77.54,77.54,77.75→0.21 (Δ=77.54),77.75→0.21 (Δ=77.54),65.85,253.98
112,223201.68,-5.5992,1.9406,77.34,77.34,0.63,0.63,76.7,76.7,77.34→0.63 (Δ=76.70),77.34→0.63 (Δ=76.70),65.85,253.98
113,222709.09,-5.3797,1.9815,76.3,76.3,1.67,1.67,74.62,74.62,76.30→1.67 (Δ=74.62),76.30→1.67 (Δ=74.62),65.85,253.98
114,222150.55,-4.6614,1.6508,77.77,77.77,0.2,0.2,77.57,77.57,77.77→0.20 (Δ=77.57),77.77→0.20 (Δ=77.57),65.85,253.98
115,221984.78,-4.2607,1.7864,77.14,77.14,0.82,0.82,76.32,76.32,77.14→0.82 (Δ=76.32),77.14→0.82 (Δ=76.32),65.85,253.98
116,221184.1,-3.9853,1.6554,78.72,78.72,0.75,0.75,77.97,77.97,78.72→0.75 (Δ=77.97),78.72→0.75 (Δ=77.97),65.85,253.98
117,219837.76,-2.8911,1.3108,77.8,77.8,0.17,0.17,77.63,77.63,77.80→0.17 (Δ=77.63),77.80→0.17 (Δ=77.63),65.85,253.98
118,218618.68,-2.4934,1.1914,76.88,76.88,1.09,1.09,75.79,75.79,76.88→1.09 (Δ=75.79),76.88→1.09 (Δ=75.79),65.85,253.98
119,217195.7,-1.6105,0.8762,76.99,76.99,0.97,0.97,76.02,76.02,76.99→0.97 (Δ=76.02),76.99→0.97 (Δ=76.02),65.85,253.98
120,216976.14,-1.6138,1.0536,77.66,77.66,0.3,0.3,77.36,77.36,77.66→0.30 (Δ=77.36),77.66→0.30 (Δ=77.36),65.85,253.98
121,217189.86,-2.148,1.5201,77.68,77.68,0.29,0.29,77.39,77.39,77.68→0.29 (Δ=77.39),77.68→0.29 (Δ=77.39),65.85,253.98
122,216785.07,-2.0297,1.3777,78.81,78.81,0.85,0.85,77.97,77.97,78.81→0.85 (Δ=77.97),78.81→0.85 (Δ=77.97),65.85,253.98
123,216356.9,-2.4198,1.5265,78.64,78.64,0.67,0.67,77.97,77.97,78.64→0.67 (Δ=77.97),78.64→0.67 (Δ=77.97),65.85,253.98
124,216336.46,-3.3885,1.6987,75.75,75.75,2.22,2.22,73.53,73.53,75.75→2.22 (Δ=73.53),75.75→2.22 (Δ=73.53),65.85,253.98
125,216217.86,-3.3973,1.4426,76.87,76.87,1.09,1.09,75.78,75.78,76.87→1.09 (Δ=75.78),76.87→1.09 (Δ=75.78),65.85,253.98
126,216175.75,-3.0525,0.7478,79.1,79.1,1.13,1.13,77.97,77.97,79.10→1.13 (Δ=77.97),79.10→1.13 (Δ=77.97),65.85,253.98
127,216499.56,-1.76,0.2887,79.36,79.36,1.39,1.39,77.97,77.97,79.36→1.39 (Δ=77.97),79.36→1.39 (Δ=77.97),65.85,253.98
128,218189.44,-3.3847,1.361,79.86,79.86,1.89,1.89,77.97,77.97,79.86→1.89 (Δ=77.97),79.86→1.89 (Δ=77.97),65.85,253.98
129,215782.7,-1.3373,-0.0569,80.55,80.55,2.59,2.59,77.97,77.97,80.55→2.59 (Δ=77.97),80.55→2.59 (Δ=77.97),65.85,253.98
130,219242.97,-3.0032,1.4565,77.61,77.61,0.35,0.35,77.26,77.26,77.61→0.35 (Δ=77.26),77.61→0.35 (Δ=77.26),65.85,253.98
131,220225.52,-3.687,1.7836,76.98,76.98,0.99,0.99,75.99,75.99,76.98→0.99 (Δ=75.99),76.98→0.99 (Δ=75.99),65.85,253.98
132,219557.38,-3.6983,1.9437,78.31,78.31,0.34,0.34,77.97,77.97,78.31→0.34 (Δ=77.97),78.31→0.34 (Δ=77.97),65.85,253.98
133,220083.65,-4.0997,2.1366,79.22,79.22,1.25,1.25,77.97,77.97,79.22→1.25 (Δ=77.97),79.22→1.25 (Δ=77.97),65.85,253.98
134,219125.48,-6.2431,2.2017,78.86,78.86,0.89,0.89,77.97,77.97,78.86→0.89 (Δ=77.97),78.86→0.89 (Δ=77.97),65.85,253.98
135,219948.46,-6.1077,2.0635,79.22,79.22,1.25,1.25,77.97,77.97,79.22→1.25 (Δ=77.97),79.22→1.25 (Δ=77.97),65.85,253.98
136,220398.66,-6.2474,1.9417,80.44,80.44,2.48,2.48,77.97,77.97,80.44→2.48 (Δ=77.97),80.44→2.48 (Δ=77.97),65.85,253.98
137,221295.1,-5.8453,1.7887,78.23,78.23,0.26,0.26,77.97,77.97,78.23→0.26 (Δ=77.97),78.23→0.26 (Δ=77.97),65.85,253.98
138,221263.94,-6.5872,1.559,77.08,77.08,0.89,0.89,76.19,76.19,77.08→0.89 (Δ=76.19),77.08→0.89 (Δ=76.19),65.85,253.98
139,220572.33,-5.852,1.6164,78.4,78.4,0.43,0.43,77.97,77.97,78.40→0.43 (Δ=77.97),78.40→0.43 (Δ=77.97),65.85,253.98
140,221494.73,-6.115,1.7926,76.06,76.06,1.91,1.91,74.15,74.15,76.06→1.91 (Δ=74.15),76.06→1.91 (Δ=74.15),65.85,253.98
141,221125.17,-5.7155,1.7609,77.77,77.77,0.2,0.2,77.57,77.57,77.77→0.20 (Δ=77.57),77.77→0.20 (Δ=77.57),65.85,253.98
142,221391.74,-4.6924,1.5527,77.81,77.81,0.16,0.16,77.64,77.64,77.81→0.16 (Δ=77.64),77.81→0.16 (Δ=77.64),65.85,253.98
143,221204.93,-4.1469,1.2172,76.64,76.64,1.33,1.33,75.31,75.31,76.64→1.33 (Δ=75.31),76.64→1.33 (Δ=75.31),65.85,253.98
144,221493.85,-4.6765,1.5286,77.65,77.65,0.32,0.32,77.32,77.32,77.65→0.32 (Δ=77.32),77.65→0.32 (Δ=77.32),65.85,253.98
145,220646.56,-4.1301,1.1562,77.32,77.32,0.65,0.65,76.68,76.68,77.32→0.65 (Δ=76.68),77.32→0.65 (Δ=76.68),65.85,253.98
146,219351.52,-3.5077,1.4626,79.17,79.17,1.2,1.2,77.97,77.97,79.17→1.20 (Δ=77.97),79.17→1.20 (Δ=77.97),65.85,253.98
147,219127.05,-3.557,1.4714,78.91,78.91,0.94,0.94,77.97,77.97,78.91→0.94 (Δ=77.97),78.91→0.94 (Δ=77.97),65.85,253.98
148,219830.41,-3.4121,1.5863,78.53,78.53,0.56,0.56,77.97,77.97,78.53→0.56 (Δ=77.97),78.53→0.56 (Δ=77.97),65.85,253.98
149,219071.01,-3.6119,1.8164,78.89,78.89,0.92,0.92,77.97,77.97,78.89→0.92 (Δ=77.97),78.89→0.92 (Δ=77.97),65.85,253.98
150,219890.9,-4.1357,1.9573,76.83,76.83,1.13,1.13,75.7,75.7,76.83→1.13 (Δ=75.70),76.83→1.13 (Δ=75.70),65.85,253.98
151,219332.75,-4.3025,2.1153,79.18,79.18,1.21,1.21,77.97,77.97,79.18→1.21 (Δ=77.97),79.18→1.21 (Δ=77.97),65.85,253.98
152,219309.47,-4.5614,2.2031,76.75,76.75,1.21,1.21,75.54,75.54,76.75→1.21 (Δ=75.54),76.75→1.21 (Δ=75.54),65.85,253.98
153,219532.51,-4.6093,2.1719,77.0,77.0,0.97,0.97,76.03,76.03,77.00→0.97 (Δ=76.03),77.00→0.97 (Δ=76.03),65.85,253.98
154,220138.44,-5.1302,2.2032,77.33,77.33,0.64,0.64,76.69,76.69,77.33→0.64 (Δ=76.69),77.33→0.64 (Δ=76.69),65.85,253.98
155,220582.84,-4.9589,1.8179,77.37,77.37,0.6,0.6,76.77,76.77,77.37→0.60 (Δ=76.77),77.37→0.60 (Δ=76.77),65.85,253.98
156,220379.75,-5.0234,1.9726,76.67,76.67,1.29,1.29,75.38,75.38,76.67→1.29 (Δ=75.38),76.67→1.29 (Δ=75.38),65.85,253.98
157,220250.84,-5.114,2.1994,78.68,78.68,0.72,0.72,77.97,77.97,78.68→0.72 (Δ=77.97),78.68→0.72 (Δ=77.97),65.85,253.98
158,220128.89,-5.1063,2.21,78.61,78.61,0.64,0.64,77.97,77.97,78.61→0.64 (Δ=77.97),78.61→0.64 (Δ=77.97),65.85,253.98
159,219859.57,-5.1949,2.6575,77.38,77.38,0.59,0.59,76.79,76.79,77.38→0.59 (Δ=76.79),77.38→0.59 (Δ=76.79),65.85,253.98
160,220274.0,-4.6707,2.6625,76.48,76.48,1.48,1.48,75.0,75.0,76.48→1.48 (Δ=75.00),76.48→1.48 (Δ=75.00),65.85,253.98
161,219785.93,-4.9392,2.7701,80.73,80.73,2.76,2.76,77.97,77.97,80.73→2.76 (Δ=77.97),80.73→2.76 (Δ=77.97),65.85,253.98
162,219825.69,-4.9474,3.0427,77.25,77.25,0.71,0.71,76.54,76.54,77.25→0.71 (Δ=76.54),77.25→0.71 (Δ=76.54),65.85,253.98
163,219191.39,-4.6846,3.0846,78.62,78.62,0.65,0.65,77.97,77.97,78.62→0.65 (Δ=77.97),78.62→0.65 (Δ=77.97),65.85,253.98
164,219536.19,-6.0329,2.9164,78.14,78.14,0.18,0.18,77.97,77.97,78.14→0.18 (Δ=77.97),78.14→0.18 (Δ=77.97),65.85,253.98
165,220538.7,-5.9272,3.0031,78.38,78.38,0.41,0.41,77.97,77.97,78.38→0.41 (Δ=77.97),78.38→0.41 (Δ=77.97),65.85,253.98
166,219950.67,-6.8587,2.7273,77.88,77.88,0.08,0.08,77.8,77.8,77.88→0.08 (Δ=77.80),77.88→0.08 (Δ=77.80),65.85,253.98
167,220383.74,-6.322,2.6662,78.9,78.9,0.94,0.94,77.97,77.97,78.90→0.94 (Δ=77.97),78.90→0.94 (Δ=77.97),65.85,253.98
168,220781.06,-6.5167,2.2614,77.32,77.32,0.64,0.64,76.68,76.68,77.32→0.64 (Δ=76.68),77.32→0.64 (Δ=76.68),65.85,253.98
169,220087.45,-6.5795,2.473,79.12,79.12,1.16,1.16,77.97,77.97,79.12→1.16 (Δ=77.97),79.12→1.16 (Δ=77.97),65.85,253.98
170,220367.54,-6.2603,2.0736,76.47,76.47,1.5,1.5,74.96,74.96,76.47→1.50 (Δ=74.96),76.47→1.50 (Δ=74.96),65.85,253.98
171,219940.23,-6.0222,2.0862,77.22,77.22,0.75,0.75,76.47,76.47,77.22→0.75 (Δ=76.47),77.22→0.75 (Δ=76.47),65.85,253.98
172,219870.29,-5.6713,1.9711,78.4,78.4,0.44,0.44,77.97,77.97,78.40→0.44 (Δ=77.97),78.40→0.44 (Δ=77.97),65.85,253.98
173,219315.2,-5.3156,2.2256,76.77,76.77,1.2,1.2,75.57,75.57,76.77→1.20 (Δ=75.57),76.77→1.20 (Δ=75.57),65.85,253.98
174,219049.17,-4.8217,1.7506,79.01,79.01,1.05,1.05,77.97,77.97,79.01→1.05 (Δ=77.97),79.01→1.05 (Δ=77.97),65.85,253.98
175,218432.05,-5.178,1.8109,78.39,78.39,0.42,0.42,77.97,77.97,78.39→0.42 (Δ=77.97),78.39→0.42 (Δ=77.97),65.85,253.98
176,217589.73,-4.6713,1.5121,76.32,76.32,1.64,1.64,74.68,74.68,76.32→1.64 (Δ=74.68),76.32→1.64 (Δ=74.68),65.85,253.98
177,217294.09,-4.7819,1.7828,79.35,79.35,1.38,1.38,77.97,77.97,79.35→1.38 (Δ=77.97),79.35→1.38 (Δ=77.97),65.85,253.98
178,216855.02,-4.7354,2.2711,78.54,78.54,0.57,0.57,77.97,77.97,78.54→0.57 (Δ=77.97),78.54→0.57 (Δ=77.97),65.85,253.98
179,216914.07,-5.1623,2.1343,78.03,78.03,0.07,0.07,77.97,77.97,78.03→0.07 (Δ=77.97),78.03→0.07 (Δ=77.97),65.85,253.98
180,216916.49,-4.5443,2.6632,77.8,77.8,0.17,0.17,77.63,77.63,77.80→0.17 (Δ=77.63),77.80→0.17 (Δ=77.63),65.85,253.98
181,217451.65,-5.5608,2.6421,76.95,76.95,1.02,1.02,75.93,75.93,76.95→1.02 (Δ=75.93),76.95→1.02 (Δ=75.93),65.85,253.98
182,216998.73,-5.5938,2.4255,77.62,77.62,0.35,0.35,77.27,77.27,77.62→0.35 (Δ=77.27),77.62→0.35 (Δ=77.27),65.85,253.98
183,216605.25,-6.0559,2.4429,77.87,77.87,0.1,0.1,77.77,77.77,77.87→0.10 (Δ=77.77),77.87→0.10 (Δ=77.77),65.85,253.98
184,217337.43,-5.8988,2.4983,79.81,79.81,1.84,1.84,77.97,77.97,79.81→1.84 (Δ=77.97),79.81→1.84 (Δ=77.97),65.85,253.98
185,217034.19,-5.5987,2.1902,78.62,78.62,0.65,0.65,77.97,77.97,78.62→0.65 (Δ=77.97),78.62→0.65 (Δ=77.97),65.85,253.98
186,216844.95,-6.0296,2.3357,77.35,77.35,0.62,0.62,76.74,76.74,77.35→0.62 (Δ=76.74),77.35→0.62 (Δ=76.74),65.85,253.98
187,217081.83,-5.128,1.9817,77.55,77.55,0.42,0.42,77.14,77.14,77.55→0.42 (Δ=77.14),77.55→0.42 (Δ=77.14),65.85,253.98
188,216261.18,-5.2079,1.9062,77.37,77.37,0.59,0.59,76.78,76.78,77.37→0.59 (Δ=76.78),77.37→0.59 (Δ=76.78),65.85,253.98
189,215793.32,-4.3793,2.1458,78.6,78.6,0.63,0.63,77.97,77.97,78.60→0.63 (Δ=77.97),78.60→0.63 (Δ=77.97),65.85,253.98
190,215347.1,-3.9894,1.811,78.82,78.82,0.85,0.85,77.97,77.97,78.82→0.85 (Δ=77.97),78.82→0.85 (Δ=77.97),65.85,253.98
191,215185.43,-3.7822,2.0342,76.72,76.72,1.24,1.24,75.48,75.48,76.72→1.24 (Δ=75.48),76.72→1.24 (Δ=75.48),65.85,253.98
192,214929.34,-3.1729,1.7706,76.39,76.39,1.58,1.58,74.81,74.81,76.39→1.58 (Δ=74.81),76.39→1.58 (Δ=74.81),65.85,253.98
193,214319.25,-3.2382,1.8123,77.98,77.98,0.02,0.02,77.97,77.97,77.98→0.02 (Δ=77.97),77.98→0.02 (Δ=77.97),65.85,253.98
194,213872.17,-3.4175,2.2417,79.29,79.29,1.32,1.32,77.97,77.97,79.29→1.32 (Δ=77.97),79.29→1.32 (Δ=77.97),65.85,253.98
195,214416.71,-4.0216,2.2107,77.87,77.87,0.1,0.1,77.77,77.77,77.87→0.10 (Δ=77.77),77.87→0.10 (Δ=77.77),65.85,253.98
196,214182.22,-3.5165,2.2525,76.76,76.76,1.21,1.21,75.54,75.54,76.76→1.21 (Δ=75.54),76.76→1.21 (Δ=75.54),65.85,253.98
197,214315.63,-4.1547,2.5612,77.12,77.12,0.84,0.84,76.28,76.28,77.12→0.84 (Δ=76.28),77.12→0.84 (Δ=76.28),65.85,253.98
