Height_mm,Area_mm2,X_centroid_translated,Y_centroid_translated,FARO_major_angle_X,FARO_minor_angle_Y,Aligned_major_angle_X,Aligned_minor_angle_Y,Major_axis_change,Minor_axis_change,Major_axis_change_str,Minor_axis_change_str,Translation_X,Translation_Y,eccentricity_mm,angle_from_bottom_deg
47,220773.26,-0.0254,0.3189,79.61,79.61,0.53,0.53,79.08,79.08,79.61→0.53 (Δ=79.08),79.61→0.53 (Δ=79.08),70.79,252.31,0.0254,0.121275885519689
48,221755.58,-0.8341,0.2317,76.22,76.22,2.86,2.86,73.35,73.35,76.22→2.86 (Δ=73.35),76.22→2.86 (Δ=73.35),70.79,252.31,0.8341,3.6711531968421838
49,220498.17,-0.8234,0.3491,77.46,77.46,1.62,1.62,75.84,75.84,77.46→1.62 (Δ=75.84),77.46→1.62 (Δ=75.84),70.79,252.31,0.8234,3.3659328645837703
50,221204.38,-1.4438,0.6988,77.67,77.67,1.42,1.42,76.25,76.25,77.67→1.42 (Δ=76.25),77.67→1.42 (Δ=76.25),70.79,252.31,1.4438,5.49797248035568
51,221407.65,-2.0267,0.7763,78.13,78.13,0.95,0.95,77.18,77.18,78.13→0.95 (Δ=77.18),78.13→0.95 (Δ=77.18),70.79,252.31,2.0267,7.219138306124512
52,221384.58,-1.7576,0.4097,77.98,77.98,1.1,1.1,76.88,76.88,77.98→1.10 (Δ=76.88),77.98→1.10 (Δ=76.88),70.79,252.31,1.7576,5.902737445997361
53,222620.84,-1.7391,0.5844,78.6,78.6,0.48,0.48,78.12,78.12,78.60→0.48 (Δ=78.12),78.60→0.48 (Δ=78.12),70.79,252.31,1.7391,5.518598134111063
54,222687.8,-2.5263,0.8099,79.28,79.28,0.19,0.19,79.08,79.08,79.28→0.19 (Δ=79.08),79.28→0.19 (Δ=79.08),70.79,252.31,2.5263,7.573803340017097
55,223318.1,-2.1482,0.085,78.2,78.2,0.89,0.89,77.31,77.31,78.20→0.89 (Δ=77.31),78.20→0.89 (Δ=77.31),70.79,252.31,2.1482,6.13063558169498
56,221978.24,-2.2353,0.2094,78.83,78.83,0.25,0.25,78.59,78.59,78.83→0.25 (Δ=78.59),78.83→0.25 (Δ=78.59),70.79,252.31,2.2353,6.075848773753363
57,221836.39,-1.8264,0.0846,78.33,78.33,0.75,0.75,77.58,77.58,78.33→0.75 (Δ=77.58),78.33→0.75 (Δ=77.58),70.79,252.31,1.8264,4.745708901884178
58,221564.76,-2.0064,0.4492,77.93,77.93,1.16,1.16,76.77,76.77,77.93→1.16 (Δ=76.77),77.93→1.16 (Δ=76.77),70.79,252.31,2.0064,4.985563872563708
59,221373.26,-1.3916,0.2251,77.25,77.25,1.83,1.83,75.42,75.42,77.25→1.83 (Δ=75.42),77.25→1.83 (Δ=75.42),70.79,252.31,1.3916,3.318484621354842
60,221308.25,-0.5536,0.0384,78.08,78.08,1.0,1.0,77.08,77.08,78.08→1.00 (Δ=77.08),78.08→1.00 (Δ=77.08),70.79,252.31,0.5536,1.268550421229185
61,220852.91,0.0293,0.1042,77.27,77.27,1.81,1.81,75.45,75.45,77.27→1.81 (Δ=75.45),77.27→1.81 (Δ=75.45),70.79,252.31,0.0293,0.06456790881080528
62,219707.52,-0.4959,0.1311,78.27,78.27,0.81,0.81,77.46,77.46,78.27→0.81 (Δ=77.46),78.27→0.81 (Δ=77.46),70.79,252.31,0.4959,1.0522141783365224
63,219706.12,-0.1484,0.9445,77.78,77.78,1.3,1.3,76.47,76.47,77.78→1.30 (Δ=76.47),77.78→1.30 (Δ=76.47),70.79,252.31,0.1484,0.3036647881260015
64,219517.37,-0.8059,1.0212,79.19,79.19,0.1,0.1,79.08,79.08,79.19→0.10 (Δ=79.08),79.19→0.10 (Δ=79.08),70.79,252.31,0.8059,1.591820270863357
65,219053.47,-1.3562,0.4299,79.42,79.42,0.34,0.34,79.08,79.08,79.42→0.34 (Δ=79.08),79.42→0.34 (Δ=79.08),70.79,252.31,1.3562,2.5883889183646556
66,220995.04,-1.463,0.9522,78.3,78.3,0.78,0.78,77.52,77.52,78.30→0.78 (Δ=77.52),78.30→0.78 (Δ=77.52),70.79,252.31,1.463,2.7019863502535135
67,220747.17,-1.1726,0.9616,76.48,76.48,2.6,2.6,73.89,73.89,76.48→2.60 (Δ=73.89),76.48→2.60 (Δ=73.89),70.79,252.31,1.1726,2.0985932511879706
68,222024.22,-2.5667,1.2204,78.03,78.03,1.05,1.05,76.97,76.97,78.03→1.05 (Δ=76.97),78.03→1.05 (Δ=76.97),70.79,252.31,2.5667,4.447442376610793
69,223197.54,-3.0398,0.8831,77.03,77.03,2.05,2.05,74.98,74.98,77.03→2.05 (Δ=74.98),77.03→2.05 (Δ=74.98),70.79,252.31,3.0398,5.1089958490240335
70,222175.55,-2.9526,0.8953,78.01,78.01,1.07,1.07,76.94,76.94,78.01→1.07 (Δ=76.94),78.01→1.07 (Δ=76.94),70.79,252.31,2.9526,4.822054693900602
71,222666.8,-3.7043,0.8526,79.49,79.49,0.41,0.41,79.08,79.08,79.49→0.41 (Δ=79.08),79.49→0.41 (Δ=79.08),70.79,252.31,3.7043,5.874900609851586
72,222813.22,-3.9536,1.1348,77.38,77.38,1.7,1.7,75.68,75.68,77.38→1.70 (Δ=75.68),77.38→1.70 (Δ=75.68),70.79,252.31,3.9536,6.099143667370943
73,223697.11,-4.2336,1.3368,78.67,78.67,0.41,0.41,78.26,78.26,78.67→0.41 (Δ=78.26),78.67→0.41 (Δ=78.26),70.79,252.31,4.2336,6.35713720600123
74,224316.2,-4.4394,1.6255,81.32,81.32,2.24,2.24,79.08,79.08,81.32→2.24 (Δ=79.08),81.32→2.24 (Δ=79.08),70.79,252.31,4.4394,6.4940700712196495
75,223819.09,-4.3095,1.3969,78.95,78.95,0.13,0.13,78.82,78.82,78.95→0.13 (Δ=78.82),78.95→0.13 (Δ=78.82),70.79,252.31,4.3095,6.149185290030643
76,222699.69,-4.3554,1.4785,79.63,79.63,0.55,0.55,79.08,79.08,79.63→0.55 (Δ=79.08),79.63→0.55 (Δ=79.08),70.79,252.31,4.3554,6.063747863458935
77,223381.63,-5.3772,1.9879,78.65,78.65,0.44,0.44,78.21,78.21,78.65→0.44 (Δ=78.21),78.65→0.44 (Δ=78.21),70.79,252.31,5.3772,7.295806936395167
78,223598.61,-5.2402,2.2955,80.05,80.05,0.97,0.97,79.08,79.08,80.05→0.97 (Δ=79.08),80.05→0.97 (Δ=79.08),70.79,252.31,5.2402,6.948096360165806
79,225323.98,-6.0181,2.1074,77.97,77.97,1.11,1.11,76.86,76.86,77.97→1.11 (Δ=76.86),77.97→1.11 (Δ=76.86),70.79,252.31,6.0181,7.788303870125665
80,224428.53,-5.5749,1.9209,77.95,77.95,1.13,1.13,76.81,76.81,77.95→1.13 (Δ=76.81),77.95→1.13 (Δ=76.81),70.79,252.31,5.5749,7.0621998392674685
81,224885.19,-5.8586,1.7917,79.5,79.5,0.42,0.42,79.08,79.08,79.50→0.42 (Δ=79.08),79.50→0.42 (Δ=79.08),70.79,252.31,5.8586,7.258164238594332
82,225221.51,-5.1478,1.622,75.58,75.58,3.5,3.5,72.08,72.08,75.58→3.50 (Δ=72.08),75.58→3.50 (Δ=72.08),70.79,252.31,5.1478,6.250557554608827
83,226096.91,-6.1381,1.7302,76.79,76.79,2.29,2.29,74.5,74.5,76.79→2.29 (Δ=74.50),76.79→2.29 (Δ=74.50),70.79,252.31,6.1381,7.2872671211306885
84,226160.45,-4.9165,1.1556,77.28,77.28,1.8,1.8,75.48,75.48,77.28→1.80 (Δ=75.48),77.28→1.80 (Δ=75.48),70.79,252.31,4.9165,5.729694952188383
85,226038.26,-4.2994,1.3616,76.8,76.8,2.28,2.28,74.52,74.52,76.80→2.28 (Δ=74.52),76.80→2.28 (Δ=74.52),70.79,252.31,4.2994,4.914660384886327
86,225298.76,-4.161,1.2017,77.75,77.75,1.33,1.33,76.42,76.42,77.75→1.33 (Δ=76.42),77.75→1.33 (Δ=76.42),70.79,252.31,4.161,4.664330258748239
87,225089.84,-4.1342,0.8715,78.86,78.86,0.22,0.22,78.63,78.63,78.86→0.22 (Δ=78.63),78.86→0.22 (Δ=78.63),70.79,252.31,4.1342,4.545673405873585
88,223627.18,-3.3036,0.8264,77.41,77.41,1.67,1.67,75.75,75.75,77.41→1.67 (Δ=75.75),77.41→1.67 (Δ=75.75),70.79,252.31,3.3036,3.5667503453673026
89,223513.11,-3.374,1.6441,78.94,78.94,0.14,0.14,78.79,78.79,78.94→0.14 (Δ=78.79),78.94→0.14 (Δ=78.79),70.79,252.31,3.374,3.5752774693579092
90,223293.88,-2.4226,0.3576,77.84,77.84,1.25,1.25,76.59,76.59,77.84→1.25 (Δ=76.59),77.84→1.25 (Δ=76.59),70.79,252.31,2.4226,2.5220925797735516
91,220987.29,-0.7027,0.3029,78.53,78.53,0.55,0.55,77.97,77.97,78.53→0.55 (Δ=77.97),78.53→0.55 (Δ=77.97),70.79,252.31,0.7027,0.7189219873182728
92,221934.6,-1.5333,0.6495,78.36,78.36,0.73,0.73,77.63,77.63,78.36→0.73 (Δ=77.63),78.36→0.73 (Δ=77.63),70.79,252.31,1.5333,1.5408848740246182
93,220745.05,-2.8776,0.4877,77.31,77.31,1.77,1.77,75.54,75.54,77.31→1.77 (Δ=75.54),77.31→1.77 (Δ=75.54),70.79,252.31,2.8776,2.8403319589407516
94,220509.17,-3.1051,1.0975,77.91,77.91,1.17,1.17,76.74,76.74,77.91→1.17 (Δ=76.74),77.91→1.17 (Δ=76.74),70.79,252.31,3.1051,3.012629496790179
95,220398.83,-2.6012,1.0971,76.4,76.4,2.69,2.69,73.71,73.71,76.40→2.69 (Δ=73.71),76.40→2.69 (Δ=73.71),70.79,252.31,2.6012,2.482408568054677
96,220602.76,-3.0989,0.7991,77.11,77.11,1.97,1.97,75.14,75.14,77.11→1.97 (Δ=75.14),77.11→1.97 (Δ=75.14),70.79,252.31,3.0989,2.908219395694691
97,220622.24,-3.0436,0.77,77.24,77.24,1.85,1.85,75.39,75.39,77.24→1.85 (Δ=75.39),77.24→1.85 (Δ=75.39),70.79,252.31,3.0436,2.8104121813378797
98,221502.85,-3.1768,1.2632,77.1,77.1,1.98,1.98,75.11,75.11,77.10→1.98 (Δ=75.11),77.10→1.98 (Δ=75.11),70.79,252.31,3.1768,2.8867173698875304
99,221181.29,-3.2092,0.9603,78.54,78.54,0.54,0.54,78.01,78.01,78.54→0.54 (Δ=78.01),78.54→0.54 (Δ=78.01),70.79,252.31,3.2092,2.8706208961351183
100,219349.35,-1.3529,0.223,77.97,77.97,1.12,1.12,76.85,76.85,77.97→1.12 (Δ=76.85),77.97→1.12 (Δ=76.85),70.79,252.31,1.3529,1.1923733747862026
101,222296.12,-3.964,1.021,78.7,78.7,0.38,0.38,78.32,78.32,78.70→0.38 (Δ=78.32),78.70→0.38 (Δ=78.32),70.79,252.31,3.964,3.4370903653397127
102,222113.06,-3.931,1.385,77.45,77.45,1.63,1.63,75.82,75.82,77.45→1.63 (Δ=75.82),77.45→1.63 (Δ=75.82),70.79,252.31,3.931,3.357788075338252
103,222735.66,-4.2107,1.9492,77.14,77.14,1.94,1.94,75.2,75.2,77.14→1.94 (Δ=75.20),77.14→1.94 (Δ=75.20),70.79,252.31,4.2107,3.543348448218359
104,223058.78,-4.4682,2.036,77.69,77.69,1.4,1.4,76.29,76.29,77.69→1.40 (Δ=76.29),77.69→1.40 (Δ=76.29),70.79,252.31,4.4682,3.705102169697123
105,222343.68,-4.4259,1.6289,78.48,78.48,0.6,0.6,77.87,77.87,78.48→0.60 (Δ=77.87),78.48→0.60 (Δ=77.87),70.79,252.31,4.4259,3.617832596157283
106,223093.16,-5.6117,2.4388,75.97,75.97,3.11,3.11,72.86,72.86,75.97→3.11 (Δ=72.86),75.97→3.11 (Δ=72.86),70.79,252.31,5.6117,4.519150667533244
107,222463.68,-5.3829,2.361,75.92,75.92,3.16,3.16,72.76,72.76,75.92→3.16 (Δ=72.76),75.92→3.16 (Δ=72.76),70.79,252.31,5.3829,4.275621457179181
108,223148.24,-6.6183,2.5786,77.08,77.08,2.0,2.0,75.08,75.08,77.08→2.00 (Δ=75.08),77.08→2.00 (Δ=75.08),70.79,252.31,6.6183,5.180367131758804
109,223035.24,-6.2814,2.4915,78.15,78.15,0.93,0.93,77.21,77.21,78.15→0.93 (Δ=77.21),78.15→0.93 (Δ=77.21),70.79,252.31,6.2814,4.851851919529137
110,223602.0,-5.2734,2.1094,78.73,78.73,0.36,0.36,78.37,78.37,78.73→0.36 (Δ=78.37),78.73→0.36 (Δ=78.37),70.79,252.31,5.2734,4.021961670063404
111,223514.34,-5.4974,2.0195,78.31,78.31,0.77,0.77,77.54,77.54,78.31→0.77 (Δ=77.54),78.31→0.77 (Δ=77.54),70.79,252.31,5.4974,4.137239344180684
112,223308.72,-5.7451,1.5098,78.38,78.38,0.7,0.7,77.67,77.67,78.38→0.70 (Δ=77.67),78.38→0.70 (Δ=77.67),70.79,252.31,5.7451,4.267028516767564
113,222943.01,-5.5789,1.938,76.09,76.09,2.99,2.99,73.09,73.09,76.09→2.99 (Δ=73.09),76.09→2.99 (Δ=73.09),70.79,252.31,5.5789,4.091077105896708
114,223829.5,-5.4582,1.9233,78.51,78.51,0.57,0.57,77.94,77.94,78.51→0.57 (Δ=77.94),78.51→0.57 (Δ=77.94),70.79,252.31,5.4582,3.9523497060682424
115,223005.0,-5.0232,1.7305,78.22,78.22,0.86,0.86,77.36,77.36,78.22→0.86 (Δ=77.36),78.22→0.86 (Δ=77.36),70.79,252.31,5.0232,3.592885198954218
116,222294.85,-4.3119,1.4235,76.78,76.78,2.3,2.3,74.47,74.47,76.78→2.30 (Δ=74.47),76.78→2.30 (Δ=74.47),70.79,252.31,4.3119,3.0471691577156688
117,221745.75,-3.43,1.4685,78.08,78.08,1.01,1.01,77.07,77.07,78.08→1.01 (Δ=77.07),78.08→1.01 (Δ=77.07),70.79,252.31,3.43,2.39524420806855
118,220392.82,-3.5012,1.2758,78.81,78.81,0.27,0.27,78.54,78.54,78.81→0.27 (Δ=78.54),78.81→0.27 (Δ=78.54),70.79,252.31,3.5012,2.4154834226680144
119,220538.35,-2.5481,0.4805,77.36,77.36,1.72,1.72,75.64,75.64,77.36→1.72 (Δ=75.64),77.36→1.72 (Δ=75.64),70.79,252.31,2.5481,1.7375073767588975
120,218641.14,-2.0533,0.4109,77.12,77.12,1.96,1.96,75.17,75.17,77.12→1.96 (Δ=75.17),77.12→1.96 (Δ=75.17),70.79,252.31,2.0533,1.3837946902650566
121,218684.43,-0.6873,0.8529,76.57,76.57,2.51,2.51,74.05,74.05,76.57→2.51 (Δ=74.05),76.57→2.51 (Δ=74.05),70.79,252.31,0.6873,0.4578901268192349
122,218170.31,-1.6127,0.9037,77.56,77.56,1.53,1.53,76.03,76.03,77.56→1.53 (Δ=76.03),77.56→1.53 (Δ=76.03),70.79,252.31,1.6127,1.0619577292030697
123,217340.53,-2.3171,1.0395,76.43,76.43,2.66,2.66,73.77,73.77,76.43→2.66 (Δ=73.77),76.43→2.66 (Δ=73.77),70.79,252.31,2.3171,1.5082884364305136
124,218176.18,-2.0809,1.2206,78.33,78.33,0.76,0.76,77.57,77.57,78.33→0.76 (Δ=77.57),78.33→0.76 (Δ=77.57),70.79,252.31,2.0809,1.3393827972041668
125,217599.75,-3.3087,1.2153,77.1,77.1,1.98,1.98,75.12,75.12,77.10→1.98 (Δ=75.12),77.10→1.98 (Δ=75.12),70.79,252.31,3.3087,2.105435653737571
126,217754.47,-2.9928,1.301,77.07,77.07,2.01,2.01,75.06,75.06,77.07→2.01 (Δ=75.06),77.07→2.01 (Δ=75.06),70.79,252.31,2.9928,1.8836596240543353
127,218593.21,-2.957,1.0193,76.86,76.86,2.22,2.22,74.64,74.64,76.86→2.22 (Δ=74.64),76.86→2.22 (Δ=74.64),70.79,252.31,2.957,1.8409273301425553
128,219321.84,-3.1047,0.9788,79.56,79.56,0.48,0.48,79.08,79.08,79.56→0.48 (Δ=79.08),79.56→0.48 (Δ=79.08),70.79,252.31,3.1047,1.9120448075301633
129,219729.91,-3.0354,1.2653,77.27,77.27,1.81,1.81,75.45,75.45,77.27→1.81 (Δ=75.45),77.27→1.81 (Δ=75.45),70.79,252.31,3.0354,1.849523375764364
130,220622.03,-3.3765,1.5731,78.77,78.77,0.32,0.32,78.45,78.45,78.77→0.32 (Δ=78.45),78.77→0.32 (Δ=78.45),70.79,252.31,3.3765,2.035555782460506
131,220138.48,-4.0007,1.4113,76.91,76.91,2.18,2.18,74.73,74.73,76.91→2.18 (Δ=74.73),76.91→2.18 (Δ=74.73),70.79,252.31,4.0007,2.3863610879294814
132,220157.47,-3.2035,1.6551,77.21,77.21,1.88,1.88,75.33,75.33,77.21→1.88 (Δ=75.33),77.21→1.88 (Δ=75.33),70.79,252.31,3.2035,1.8915499136217917
133,220621.95,-4.3453,1.8061,77.65,77.65,1.43,1.43,76.21,76.21,77.65→1.43 (Δ=76.21),77.65→1.43 (Δ=76.21),70.79,252.31,4.3453,2.5388202536221507
134,220785.74,-4.0546,1.3971,77.7,77.7,1.38,1.38,76.32,76.32,77.70→1.38 (Δ=76.32),77.70→1.38 (Δ=76.32),70.79,252.31,4.0546,2.345269781653884
135,220712.25,-5.6997,1.6086,77.65,77.65,1.44,1.44,76.21,76.21,77.65→1.44 (Δ=76.21),77.65→1.44 (Δ=76.21),70.79,252.31,5.6997,3.262158054688585
136,220872.6,-5.0205,2.2158,80.18,80.18,1.1,1.1,79.08,79.08,80.18→1.10 (Δ=79.08),80.18→1.10 (Δ=79.08),70.79,252.31,5.0205,2.845711810437097
137,221498.57,-5.2553,1.579,77.62,77.62,1.46,1.46,76.16,76.16,77.62→1.46 (Δ=76.16),77.62→1.46 (Δ=76.16),70.79,252.31,5.2553,2.949416639483995
138,221721.63,-5.721,1.6532,77.17,77.17,1.92,1.92,75.25,75.25,77.17→1.92 (Δ=75.25),77.17→1.92 (Δ=75.25),70.79,252.31,5.721,3.179152326179467
139,221981.14,-5.5631,1.3058,76.41,76.41,2.68,2.68,73.73,73.73,76.41→2.68 (Δ=73.73),76.41→2.68 (Δ=73.73),70.79,252.31,5.5631,3.0619102275347956
140,222149.93,-5.7109,1.8513,77.84,77.84,1.24,1.24,76.59,76.59,77.84→1.24 (Δ=76.59),77.84→1.24 (Δ=76.59),70.79,252.31,5.7109,3.1132227157452155
141,222099.94,-5.3775,1.8045,78.28,78.28,0.8,0.8,77.47,77.47,78.28→0.80 (Δ=77.47),78.28→0.80 (Δ=77.47),70.79,252.31,5.3775,2.9041900114032777
142,221847.35,-5.1557,1.3222,78.31,78.31,0.78,0.78,77.53,77.53,78.31→0.78 (Δ=77.53),78.31→0.78 (Δ=77.53),70.79,252.31,5.1557,2.7586126875859533
143,222303.28,-4.7154,1.6343,78.79,78.79,0.29,0.29,78.5,78.5,78.79→0.29 (Δ=78.50),78.79→0.29 (Δ=78.50),70.79,252.31,4.7154,2.5000096189625416
144,221869.38,-4.31,1.1987,78.09,78.09,1.0,1.0,77.09,77.09,78.09→1.00 (Δ=77.09),78.09→1.00 (Δ=77.09),70.79,252.31,4.31,2.264369080862916
145,221260.02,-4.0404,1.2378,77.76,77.76,1.32,1.32,76.44,76.44,77.76→1.32 (Δ=76.44),77.76→1.32 (Δ=76.44),70.79,252.31,4.0404,2.103580386754387
146,219809.99,-3.6062,1.2298,79.03,79.03,0.05,0.05,78.98,78.98,79.03→0.05 (Δ=78.98),79.03→0.05 (Δ=78.98),70.79,252.31,3.6062,1.8607873065892542
147,219902.04,-3.4676,1.3409,77.27,77.27,1.81,1.81,75.46,75.46,77.27→1.81 (Δ=75.46),77.27→1.81 (Δ=75.46),70.79,252.31,3.4676,1.7733517792422173
148,220084.48,-2.8881,1.5124,78.03,78.03,1.05,1.05,76.98,76.98,78.03→1.05 (Δ=76.98),78.03→1.05 (Δ=76.98),70.79,252.31,2.8881,1.464070119685857
149,220413.34,-3.6721,1.3481,78.37,78.37,0.71,0.71,77.66,77.66,78.37→0.71 (Δ=77.66),78.37→0.71 (Δ=77.66),70.79,252.31,3.6721,1.844939562275372
150,220087.21,-4.0094,2.0019,77.48,77.48,1.6,1.6,75.89,75.89,77.48→1.60 (Δ=75.89),77.48→1.60 (Δ=75.89),70.79,252.31,4.0094,1.9967712077098154
151,220567.99,-4.5161,1.9241,77.15,77.15,1.93,1.93,75.22,75.22,77.15→1.93 (Δ=75.22),77.15→1.93 (Δ=75.22),70.79,252.31,4.5161,2.2295073998397705
152,219759.15,-4.0512,1.6876,77.81,77.81,1.28,1.28,76.53,76.53,77.81→1.28 (Δ=76.53),77.81→1.28 (Δ=76.53),70.79,252.31,4.0512,1.9831108066039154
153,219546.49,-4.2352,1.8468,77.64,77.64,1.45,1.45,76.19,76.19,77.64→1.45 (Δ=76.19),77.64→1.45 (Δ=76.19),70.79,252.31,4.2352,2.055550575560032
154,219861.8,-4.2812,2.1865,78.26,78.26,0.83,0.83,77.43,77.43,78.26→0.83 (Δ=77.43),78.26→0.83 (Δ=77.43),70.79,252.31,4.2812,2.060411298554069
155,220979.13,-5.2048,1.6916,76.88,76.88,2.21,2.21,74.67,74.67,76.88→2.21 (Δ=74.67),76.88→2.21 (Δ=74.67),70.79,252.31,5.2048,2.48355233293381
156,221251.82,-4.3717,1.8011,78.62,78.62,0.46,0.46,78.17,78.17,78.62→0.46 (Δ=78.17),78.62→0.46 (Δ=78.17),70.79,252.31,4.3717,2.0691822795405925
157,221534.71,-4.2378,1.7319,78.4,78.4,0.69,0.69,77.71,77.71,78.40→0.69 (Δ=77.71),78.40→0.69 (Δ=77.71),70.79,252.31,4.2378,1.9894300665968139
158,221132.42,-4.4309,1.8138,79.16,79.16,0.08,0.08,79.08,79.08,79.16→0.08 (Δ=79.08),79.16→0.08 (Δ=79.08),70.79,252.31,4.4309,2.06310681724759
159,220918.08,-4.6697,2.1527,77.86,77.86,1.22,1.22,76.63,76.63,77.86→1.22 (Δ=76.63),77.86→1.22 (Δ=76.63),70.79,252.31,4.6697,2.1566752274768684
160,221073.58,-4.8103,2.5469,78.53,78.53,0.55,0.55,77.98,77.98,78.53→0.55 (Δ=77.98),78.53→0.55 (Δ=77.98),70.79,252.31,4.8103,2.2037916733662897
161,221055.53,-4.7757,2.4594,79.09,79.09,0.01,0.01,79.08,79.08,79.09→0.01 (Δ=79.08),79.09→0.01 (Δ=79.08),70.79,252.31,4.7757,2.170607435302658
162,220978.09,-4.9708,2.6601,80.19,80.19,1.1,1.1,79.08,79.08,80.19→1.10 (Δ=79.08),80.19→1.10 (Δ=79.08),70.79,252.31,4.9708,2.2414217168705224
163,220722.45,-5.2042,2.5467,77.27,77.27,1.81,1.81,75.46,75.46,77.27→1.81 (Δ=75.46),77.27→1.81 (Δ=75.46),70.79,252.31,5.2042,2.3282387211904783
164,220546.66,-4.2291,2.737,78.69,78.69,0.39,0.39,78.3,78.3,78.69→0.39 (Δ=78.30),78.69→0.39 (Δ=78.30),70.79,252.31,4.2291,1.8776963400203444
165,220924.08,-5.612,2.9955,79.79,79.79,0.71,0.71,79.08,79.08,79.79→0.71 (Δ=79.08),79.79→0.71 (Δ=79.08),70.79,252.31,5.612,2.4718799728351435
166,220792.81,-5.6524,2.6021,77.52,77.52,1.57,1.57,75.95,75.95,77.52→1.57 (Δ=75.95),77.52→1.57 (Δ=75.95),70.79,252.31,5.6524,2.4706710396743747
167,220843.93,-5.9324,2.4996,78.86,78.86,0.22,0.22,78.64,78.64,78.86→0.22 (Δ=78.64),78.86→0.22 (Δ=78.64),70.79,252.31,5.9324,2.573279640515588
168,220283.7,-6.5109,2.2983,78.57,78.57,0.52,0.52,78.05,78.05,78.57→0.52 (Δ=78.05),78.57→0.52 (Δ=78.05),70.79,252.31,6.5109,2.8026279340815297
169,220925.27,-6.3579,2.0484,77.51,77.51,1.57,1.57,75.94,75.94,77.51→1.57 (Δ=75.94),77.51→1.57 (Δ=75.94),70.79,252.31,6.3579,2.7164764666677588
170,220820.88,-5.8888,2.1053,77.74,77.74,1.34,1.34,76.39,76.39,77.74→1.34 (Δ=76.39),77.74→1.34 (Δ=76.39),70.79,252.31,5.8888,2.4977009640267953
171,221693.05,-6.6874,1.9928,77.07,77.07,2.02,2.02,75.05,75.05,77.07→2.02 (Δ=75.05),77.07→2.02 (Δ=75.05),70.79,252.31,6.6874,2.815084045794153
172,220591.85,-5.4601,2.0324,77.7,77.7,1.39,1.39,76.31,76.31,77.70→1.39 (Δ=76.31),77.70→1.39 (Δ=76.31),70.79,252.31,5.4601,2.2823007636272616
173,222777.01,-6.3096,2.131,79.16,79.16,0.08,0.08,79.08,79.08,79.16→0.08 (Δ=79.08),79.16→0.08 (Δ=79.08),70.79,252.31,6.3096,2.6178395218231016
174,219564.2,-5.02,2.054,76.78,76.78,2.3,2.3,74.48,74.48,76.78→2.30 (Δ=74.48),76.78→2.30 (Δ=74.48),70.79,252.31,5.02,2.0683443247993107
175,219939.9,-5.0748,1.2983,80.48,80.48,1.4,1.4,79.08,79.08,80.48→1.40 (Δ=79.08),80.48→1.40 (Δ=79.08),70.79,252.31,5.0748,2.0759812232522474
